month,line,division,day_type,period,num_timepoints_passing_wait _assessment,num_sched_timepoints,wait assessment
2015-01,G,B DIVISION,2,offpeak,1467,1575,0.931428571
2015-01,G,B DIVISION,2,peak,755,818,0.922982885
2015-01,JZ,B DIVISION,1,offpeak,8660,10358,0.836068739
2015-01,JZ,B DIVISION,1,peak,5783,7630,0.757929227
2015-01,JZ,B DIVISION,2,offpeak,3357,3546,0.946700508
2015-01,JZ,B DIVISION,2,peak,1838,1963,0.936321956
2015-01,L,B DIVISION,1,offpeak,17474,21494,0.812971062
2015-01,L,B DIVISION,1,peak,10447,13734,0.760666958
2015-01,L,B DIVISION,2,offpeak,6436,8406,0.765643588
2015-01,L,B DIVISION,2,peak,3251,4170,0.779616307
2015-01,M,B DIVISION,1,offpeak,9901,12465,0.794304051
2015-01,M,B DIVISION,1,peak,5803,8153,0.711762541
2015-01,M,B DIVISION,2,offpeak,1260,1298,0.970724191
2015-01,M,B DIVISION,2,peak,743,773,0.961190168
2015-01,N,B DIVISION,1,offpeak,13021,16595,0.784633926
2015-01,N,B DIVISION,1,peak,6986,9594,0.728163435
2015-01,N,B DIVISION,2,offpeak,4880,6016,0.811170213
2015-01,N,B DIVISION,2,peak,2574,3101,0.830054821
2015-01,Q,B DIVISION,1,offpeak,9655,12118,0.796748638
2015-01,Q,B DIVISION,1,peak,5852,7830,0.747381865
2015-01,Q,B DIVISION,2,offpeak,3191,3667,0.870193619
2015-01,Q,B DIVISION,2,peak,1595,1873,0.851575013
2015-01,R,B DIVISION,1,offpeak,12539,16334,0.767662544
2015-01,R,B DIVISION,1,peak,7915,11219,0.705499599
2015-01,R,B DIVISION,2,offpeak,4543,5397,0.841763943
2015-01,R,B DIVISION,2,peak,2373,2878,0.824530924
2015-01,S Fkln,B DIVISION,1,offpeak,1641,1867,0.878950187
2015-01,S Fkln,B DIVISION,1,peak,1050,1122,0.935828877
2015-01,S Fkln,B DIVISION,2,offpeak,496,509,0.974459725
2015-01,S Fkln,B DIVISION,2,peak,262,278,0.942446043
2015-01,S Rock,B DIVISION,1,offpeak,1557,1703,0.914268937
2015-01,S Rock,B DIVISION,1,peak,813,869,0.935558113
2015-01,S Rock,B DIVISION,2,offpeak,659,687,0.959243086
2015-01,S Rock,B DIVISION,2,peak,344,357,0.963585434
2015-01,Systemwide,Systemwide,1,Systemwide,428827,583949,0.734356939
2015-01,Systemwide,Systemwide,2,Systemwide,124272,155247,0.800479236
2015-02,1,A DIVISION,1,offpeak,17234,21433,0.804087155
2015-02,1,A DIVISION,1,peak,9940,14323,0.69398869
2015-02,1,A DIVISION,2,offpeak,5705,6625,0.861132075
2015-02,1,A DIVISION,2,peak,2891,3217,0.898663351
2015-02,2,A DIVISION,1,offpeak,17027,22847,0.74526196
2015-02,2,A DIVISION,1,peak,9561,15025,0.636339434
2015-02,2,A DIVISION,2,offpeak,5621,7290,0.771056241
2015-02,2,A DIVISION,2,peak,2994,3722,0.804406233
2015-02,3,A DIVISION,1,offpeak,16003,20081,0.796922464
2015-02,3,A DIVISION,1,peak,9004,12794,0.703767391
2015-02,3,A DIVISION,2,offpeak,3789,4640,0.816594828
2015-02,3,A DIVISION,2,peak,2021,2343,0.862569356
2015-02,4,A DIVISION,1,offpeak,19873,26258,0.756836012
2015-02,4,A DIVISION,1,peak,12529,19971,0.627359672
2015-02,4,A DIVISION,2,offpeak,5762,8008,0.71953047
2015-02,4,A DIVISION,2,peak,3190,4342,0.734684477
2015-02,5,A DIVISION,1,offpeak,14681,20539,0.714786504
2015-02,5,A DIVISION,1,peak,9600,16844,0.569935882
2015-02,5,A DIVISION,2,offpeak,1766,2034,0.868239921
2015-02,5,A DIVISION,2,peak,883,1112,0.794064748
2015-02,6,A DIVISION,1,offpeak,15710,24578,0.639189519
2015-02,6,A DIVISION,1,peak,10009,17988,0.556426507
2015-02,6,A DIVISION,2,offpeak,4903,6259,0.783351973
2015-02,6,A DIVISION,2,peak,2655,3303,0.803814714
2015-02,7,A DIVISION,1,offpeak,9047,11654,0.776299983
2015-02,7,A DIVISION,1,peak,6587,10234,0.643638851
2015-02,7,A DIVISION,2,offpeak,2716,3192,0.850877193
2015-02,7,A DIVISION,2,peak,1569,1853,0.846735024
2015-02,S 42nd,A DIVISION,1,offpeak,4998,5094,0.981154299
2015-02,S 42nd,A DIVISION,1,peak,4411,5238,0.842115311
2015-02,S 42nd,A DIVISION,2,offpeak,1678,1704,0.984741784
2015-02,S 42nd,A DIVISION,2,peak,973,992,0.980846774
2015-02,A,B DIVISION,1,offpeak,11785,16089,0.732488035
2015-02,A,B DIVISION,1,peak,8098,12054,0.671810187
2015-02,A,B DIVISION,2,offpeak,3789,5570,0.680251346
2015-02,A,B DIVISION,2,peak,2035,3047,0.667870036
2015-02,B,B DIVISION,1,offpeak,6380,7861,0.811601577
2015-02,B,B DIVISION,1,peak,5000,7001,0.714183688
2015-02,C,B DIVISION,1,offpeak,8087,10077,0.802520591
2015-02,C,B DIVISION,1,peak,4590,6306,0.727878211
2015-02,C,B DIVISION,2,offpeak,2316,2725,0.849908257
2015-02,C,B DIVISION,2,peak,1317,1613,0.816491011
2015-02,D,B DIVISION,1,offpeak,9790,12062,0.811639861
2015-02,D,B DIVISION,1,peak,5969,8016,0.744635729
2015-02,D,B DIVISION,2,offpeak,3049,3815,0.79921363
2015-02,D,B DIVISION,2,peak,1588,2021,0.785749629
2015-02,E,B DIVISION,1,offpeak,9265,12399,0.74723768
2015-02,E,B DIVISION,1,peak,6184,9007,0.686577107
2015-02,E,B DIVISION,2,offpeak,2402,2893,0.830279986
2015-02,E,B DIVISION,2,peak,1265,1516,0.834432718
2015-02,F,B DIVISION,1,offpeak,13355,17561,0.760491999
2015-02,F,B DIVISION,1,peak,8974,12965,0.69217123
2015-02,F,B DIVISION,2,offpeak,3338,4328,0.771256932
2015-02,F,B DIVISION,2,peak,1735,2258,0.768379097
2015-02,G,B DIVISION,1,offpeak,4360,4885,0.892528147
2015-02,G,B DIVISION,1,peak,2553,3044,0.83869908
2015-02,G,B DIVISION,2,offpeak,1302,1422,0.915611814
2015-02,G,B DIVISION,2,peak,672,730,0.920547945
2015-02,JZ,B DIVISION,1,offpeak,7456,8981,0.830197083
2015-02,JZ,B DIVISION,1,peak,5035,6866,0.733323624
2015-02,JZ,B DIVISION,2,offpeak,2812,3089,0.910326967
2015-02,JZ,B DIVISION,2,peak,1607,1738,0.924626007
2015-02,L,B DIVISION,1,offpeak,15133,19798,0.764370138
2015-02,L,B DIVISION,1,peak,9282,13026,0.71257485
2015-02,L,B DIVISION,2,offpeak,3638,4028,0.903177756
2015-02,L,B DIVISION,2,peak,1861,2069,0.899468342
2015-02,M,B DIVISION,1,offpeak,9585,12350,0.77611336
2015-02,M,B DIVISION,1,peak,5563,7709,0.721624076
2015-02,M,B DIVISION,2,offpeak,1317,1377,0.956427015
2015-02,M,B DIVISION,2,peak,777,810,0.959259259
2015-02,N,B DIVISION,1,offpeak,11688,14815,0.788930138
2015-02,N,B DIVISION,1,peak,6305,8665,0.727639931
2015-02,N,B DIVISION,2,offpeak,4469,5624,0.794630156
2015-02,N,B DIVISION,2,peak,2286,2846,0.803232607
2015-02,Q,B DIVISION,1,offpeak,9093,11512,0.789871438
2015-02,Q,B DIVISION,1,peak,5408,7277,0.743163392
2015-02,Q,B DIVISION,2,offpeak,2608,3010,0.866445183
2015-02,Q,B DIVISION,2,peak,1370,1557,0.879897238
2015-02,R,B DIVISION,1,offpeak,11350,14584,0.778250137
2015-02,R,B DIVISION,1,peak,7167,10065,0.712071535
2015-02,R,B DIVISION,2,offpeak,3764,4824,0.78026534
2015-02,R,B DIVISION,2,peak,2143,2590,0.827413127
2015-02,S Fkln,B DIVISION,1,offpeak,1553,1669,0.930497304
2015-02,S Fkln,B DIVISION,1,peak,981,1024,0.958007813
2015-02,S Fkln,B DIVISION,2,offpeak,461,482,0.956431535
2015-02,S Fkln,B DIVISION,2,peak,263,268,0.981343284
2015-02,S Rock,B DIVISION,1,offpeak,1486,1600,0.92875
2015-02,S Rock,B DIVISION,1,peak,738,810,0.911111111
2015-02,S Rock,B DIVISION,2,offpeak,582,610,0.954098361
2015-02,S Rock,B DIVISION,2,peak,306,315,0.971428571
2015-02,Systemwide,Systemwide,1,Systemwide,398427,544979,0.731086886
2015-02,Systemwide,Systemwide,2,Systemwide,104188,127811,0.815172403
2015-03,1,A DIVISION,1,offpeak,21787,26588,0.819429818
2015-03,1,A DIVISION,1,peak,12807,17569,0.728954408
2015-03,1,A DIVISION,2,offpeak,5750,6628,0.867531684
2015-03,1,A DIVISION,2,peak,2696,3160,0.853164557
2015-03,2,A DIVISION,1,offpeak,21280,27974,0.76070637
2015-03,2,A DIVISION,1,peak,12092,18588,0.650527222
2015-03,2,A DIVISION,2,offpeak,6324,8261,0.765524755
2015-03,2,A DIVISION,2,peak,3271,4199,0.778994999
2015-03,3,A DIVISION,1,offpeak,19159,23377,0.81956624
2015-03,3,A DIVISION,1,peak,11165,15851,0.704371964
2015-03,3,A DIVISION,2,offpeak,6022,6882,0.875036327
2015-03,3,A DIVISION,2,peak,3039,3457,0.879085913
2015-03,4,A DIVISION,1,offpeak,24282,32115,0.756095283
2015-03,4,A DIVISION,1,peak,15260,24420,0.624897625
2015-03,4,A DIVISION,2,offpeak,7464,10078,0.74062314
2015-03,4,A DIVISION,2,peak,4055,5455,0.74335472
2015-03,5,A DIVISION,1,offpeak,17580,24814,0.708471024
2015-03,5,A DIVISION,1,peak,12173,20590,0.591209325
2015-03,5,A DIVISION,2,offpeak,2460,2890,0.851211073
2015-03,5,A DIVISION,2,peak,1348,1560,0.864102564
2015-03,6,A DIVISION,1,offpeak,20819,30436,0.684025496
2015-03,6,A DIVISION,1,peak,13286,22110,0.600904568
2015-03,6,A DIVISION,2,offpeak,5223,6978,0.748495271
2015-03,6,A DIVISION,2,peak,2870,3686,0.778621812
2015-03,7,A DIVISION,1,offpeak,10157,13387,0.758721147
2015-03,7,A DIVISION,1,peak,7497,11160,0.671774194
2015-03,7,A DIVISION,2,offpeak,2233,2814,0.793532338
2015-03,7,A DIVISION,2,peak,1123,1473,0.762389681
2015-03,S 42nd,A DIVISION,1,offpeak,6070,6226,0.974943784
2015-03,S 42nd,A DIVISION,1,peak,5407,6402,0.844579819
2015-03,S 42nd,A DIVISION,2,offpeak,1864,1906,0.977964323
2015-03,S 42nd,A DIVISION,2,peak,1093,1100,0.993636364
2015-03,A,B DIVISION,1,offpeak,13322,18407,0.723746401
2015-03,A,B DIVISION,1,peak,9195,13634,0.674416899
2015-03,A,B DIVISION,2,offpeak,3838,4898,0.783585137
2015-03,A,B DIVISION,2,peak,2008,2589,0.775589031
2015-03,B,B DIVISION,1,offpeak,7963,9787,0.813630326
2015-03,B,B DIVISION,1,peak,5839,7800,0.748589744
2015-03,C,B DIVISION,1,offpeak,8753,11044,0.792557045
2015-03,C,B DIVISION,1,peak,4996,6830,0.73147877
2015-03,C,B DIVISION,2,offpeak,2711,3116,0.870025674
2015-03,C,B DIVISION,2,peak,1519,1763,0.861599546
2015-03,D,B DIVISION,1,offpeak,11448,13931,0.82176441
2015-03,D,B DIVISION,1,peak,7090,9271,0.764750297
2015-03,D,B DIVISION,2,offpeak,4132,4982,0.829385789
2015-03,D,B DIVISION,2,peak,2086,2532,0.82385466
2015-03,E,B DIVISION,1,offpeak,10855,14455,0.750951228
2015-03,E,B DIVISION,1,peak,7345,10570,0.694891202
2015-03,E,B DIVISION,2,offpeak,2849,3400,0.837941176
2015-03,E,B DIVISION,2,peak,1544,1823,0.846955568
2015-03,F,B DIVISION,1,offpeak,16366,21415,0.764230679
2015-03,F,B DIVISION,1,peak,11531,16034,0.719159287
2015-03,F,B DIVISION,2,offpeak,4490,5610,0.800356506
2015-03,F,B DIVISION,2,peak,2337,2889,0.808930426
2015-03,G,B DIVISION,1,offpeak,4859,5528,0.87897974
2015-03,G,B DIVISION,1,peak,2895,3443,0.84083648
2015-03,G,B DIVISION,2,offpeak,1346,1552,0.867268041
2015-03,G,B DIVISION,2,peak,737,833,0.884753902
2015-03,JZ,B DIVISION,1,offpeak,6723,7797,0.862254713
2015-03,JZ,B DIVISION,1,peak,4519,5946,0.760006727
2015-03,JZ,B DIVISION,2,offpeak,2024,2303,0.878853669
2015-03,JZ,B DIVISION,2,peak,1091,1209,0.902398677
2015-03,L,B DIVISION,1,offpeak,17301,21858,0.79151798
2015-03,L,B DIVISION,1,peak,11168,15041,0.742503823
2015-03,L,B DIVISION,2,offpeak,6442,8092,0.796094909
2015-03,L,B DIVISION,2,peak,3023,3964,0.762613522
2015-03,M,B DIVISION,1,offpeak,10714,13619,0.786695058
2015-03,M,B DIVISION,1,peak,6138,8471,0.724589777
2015-03,M,B DIVISION,2,offpeak,1125,1189,0.946173255
2015-03,M,B DIVISION,2,peak,649,676,0.960059172
2015-03,N,B DIVISION,1,offpeak,13360,16652,0.802306029
2015-03,N,B DIVISION,1,peak,7513,9738,0.771513658
2015-03,N,B DIVISION,2,offpeak,5441,6617,0.822275956
2015-03,N,B DIVISION,2,peak,2749,3285,0.836834094
2015-03,Q,B DIVISION,1,offpeak,10691,12968,0.824413942
2015-03,Q,B DIVISION,1,peak,6335,8126,0.779596357
2015-03,Q,B DIVISION,2,offpeak,3769,4320,0.872453704
2015-03,Q,B DIVISION,2,peak,2054,2359,0.870707927
2015-03,R,B DIVISION,1,offpeak,12484,16380,0.762148962
2015-03,R,B DIVISION,1,peak,8329,11462,0.726662014
2015-03,R,B DIVISION,2,offpeak,4179,5007,0.834631516
2015-03,R,B DIVISION,2,peak,2230,2652,0.840874811
2015-03,S Fkln,B DIVISION,1,offpeak,1808,1945,0.929562982
2015-03,S Fkln,B DIVISION,1,peak,1165,1202,0.96921797
2015-03,S Fkln,B DIVISION,2,offpeak,485,503,0.964214712
2015-03,S Fkln,B DIVISION,2,peak,266,277,0.960288809
2015-03,S Rock,B DIVISION,1,offpeak,1713,1858,0.921959096
2015-03,S Rock,B DIVISION,1,peak,859,942,0.911889597
2015-03,S Rock,B DIVISION,2,offpeak,574,596,0.963087248
2015-03,S Rock,B DIVISION,2,peak,288,319,0.902821317
2015-03,Systemwide,Systemwide,1,Systemwide,474098,637761,0.743378789
2015-03,Systemwide,Systemwide,2,Systemwide,122821,149882,0.819451302
2015-04,1,A DIVISION,1,offpeak,20575,25406,0.809848067
2015-04,1,A DIVISION,1,peak,12784,16779,0.761904762
2015-04,1,A DIVISION,2,offpeak,4166,4804,0.867194005
2015-04,1,A DIVISION,2,peak,2072,2342,0.88471392
2015-04,2,A DIVISION,1,offpeak,21362,28353,0.753429972
2015-04,2,A DIVISION,1,peak,12793,18678,0.684923439
2015-04,2,A DIVISION,2,offpeak,4457,5528,0.806259045
2015-04,2,A DIVISION,2,peak,2311,2807,0.823298896
2015-04,3,A DIVISION,1,offpeak,19928,24497,0.813487366
2015-04,3,A DIVISION,1,peak,11795,15928,0.740519839
2015-04,3,A DIVISION,2,offpeak,4001,4573,0.874917997
2015-04,3,A DIVISION,2,peak,2035,2311,0.880571181
2015-04,4,A DIVISION,1,offpeak,25131,32117,0.782482797
2015-04,4,A DIVISION,1,peak,16092,24420,0.658968059
2015-04,4,A DIVISION,2,offpeak,5147,7037,0.731419639
2015-04,4,A DIVISION,2,peak,2947,3828,0.76985371
2015-04,5,A DIVISION,1,offpeak,18246,25400,0.718346457
2015-04,5,A DIVISION,1,peak,12738,20592,0.618589744
2015-04,5,A DIVISION,2,offpeak,1945,2267,0.857962064
2015-04,5,A DIVISION,2,peak,1111,1231,0.902518278
2015-04,6,A DIVISION,1,offpeak,20705,30309,0.683130423
2015-04,6,A DIVISION,1,peak,13919,22132,0.628908368
2015-04,6,A DIVISION,2,offpeak,3415,4694,0.727524499
2015-04,6,A DIVISION,2,peak,1878,2481,0.756952842
2015-04,7,A DIVISION,1,offpeak,10352,13942,0.742504662
2015-04,7,A DIVISION,1,peak,8029,11818,0.679387375
2015-04,7,A DIVISION,2,offpeak,3078,3838,0.801980198
2015-04,7,A DIVISION,2,peak,1770,2245,0.788418708
2015-04,S 42nd,A DIVISION,1,offpeak,6100,6227,0.979604946
2015-04,S 42nd,A DIVISION,1,peak,5464,6402,0.853483286
2015-04,S 42nd,A DIVISION,2,offpeak,1547,1704,0.90786385
2015-04,S 42nd,A DIVISION,2,peak,862,992,0.868951613
2015-04,A,B DIVISION,1,offpeak,14287,18905,0.755725998
2015-04,A,B DIVISION,1,peak,10270,14562,0.705260266
2015-04,A,B DIVISION,2,offpeak,4388,5737,0.764859683
2015-04,A,B DIVISION,2,peak,2316,3051,0.759095379
2015-04,B,B DIVISION,1,offpeak,8320,10124,0.821809561
2015-04,B,B DIVISION,1,peak,6452,8309,0.776507402
2015-04,C,B DIVISION,1,offpeak,9379,11292,0.830588027
2015-04,C,B DIVISION,1,peak,5535,7112,0.778262092
2015-04,C,B DIVISION,2,offpeak,2651,3079,0.860993829
2015-04,C,B DIVISION,2,peak,1498,1740,0.86091954
2015-04,D,B DIVISION,1,offpeak,12013,14450,0.831349481
2015-04,D,B DIVISION,1,peak,7521,9550,0.787539267
2015-04,D,B DIVISION,2,offpeak,3835,4684,0.818744663
2015-04,D,B DIVISION,2,peak,1947,2395,0.812943633
2015-04,E,B DIVISION,1,offpeak,9403,12458,0.754776048
2015-04,E,B DIVISION,1,peak,7126,9680,0.736157025
2015-04,E,B DIVISION,2,offpeak,2143,2464,0.869724026
2015-04,E,B DIVISION,2,peak,1128,1301,0.867025365
2015-04,F,B DIVISION,1,offpeak,17197,22168,0.775757849
2015-04,F,B DIVISION,1,peak,12491,16857,0.740997805
2015-04,F,B DIVISION,2,offpeak,3762,4673,0.805050289
2015-04,F,B DIVISION,2,peak,1929,2403,0.802746567
2015-04,G,B DIVISION,1,offpeak,4851,5508,0.880718954
2015-04,G,B DIVISION,1,peak,2943,3495,0.842060086
2015-04,G,B DIVISION,2,offpeak,1216,1322,0.919818457
2015-04,G,B DIVISION,2,peak,669,708,0.944915254
2015-04,JZ,B DIVISION,1,offpeak,6658,7816,0.851842375
2015-04,JZ,B DIVISION,1,peak,4675,6021,0.776449095
2015-04,JZ,B DIVISION,2,offpeak,2059,2236,0.920840787
2015-04,JZ,B DIVISION,2,peak,1151,1249,0.92153723
2015-04,L,B DIVISION,1,offpeak,17878,22678,0.788341124
2015-04,L,B DIVISION,1,peak,11289,14916,0.756838294
2015-04,L,B DIVISION,2,offpeak,4454,5468,0.814557425
2015-04,L,B DIVISION,2,peak,2294,2755,0.832667877
2015-04,M,B DIVISION,1,offpeak,10475,12935,0.809818322
2015-04,M,B DIVISION,1,peak,6803,9077,0.749476699
2015-04,M,B DIVISION,2,offpeak,2195,2583,0.849787069
2015-04,M,B DIVISION,2,peak,1197,1348,0.887982196
2015-04,N,B DIVISION,1,offpeak,14261,17459,0.816827997
2015-04,N,B DIVISION,1,peak,8093,10326,0.783749758
2015-04,N,B DIVISION,2,offpeak,4238,5174,0.819095477
2015-04,N,B DIVISION,2,peak,2142,2598,0.82448037
2015-04,Q,B DIVISION,1,offpeak,11625,13910,0.835729691
2015-04,Q,B DIVISION,1,peak,6898,8699,0.792964709
2015-04,Q,B DIVISION,2,offpeak,2665,2937,0.907388492
2015-04,Q,B DIVISION,2,peak,1345,1477,0.910629655
2015-04,R,B DIVISION,1,offpeak,13279,16931,0.784300986
2015-04,R,B DIVISION,1,peak,8841,12103,0.730480046
2015-04,R,B DIVISION,2,offpeak,3663,4500,0.814
2015-04,R,B DIVISION,2,peak,2025,2417,0.837815474
2015-04,S Fkln,B DIVISION,1,offpeak,1850,1914,0.966562173
2015-04,S Fkln,B DIVISION,1,peak,1158,1170,0.98974359
2015-04,S Fkln,B DIVISION,2,offpeak,520,542,0.959409594
2015-04,S Fkln,B DIVISION,2,peak,304,306,0.993464052
2015-04,S Rock,B DIVISION,1,offpeak,1770,1899,0.93206951
2015-04,S Rock,B DIVISION,1,peak,890,959,0.928050052
2015-04,S Rock,B DIVISION,2,offpeak,579,600,0.965
2015-04,S Rock,B DIVISION,2,peak,313,323,0.969040248
2015-04,Systemwide,Systemwide,1,Systemwide,490244,646283,0.758559331
2015-04,Systemwide,Systemwide,2,Systemwide,101368,122752,0.825795099
2015-05,1,A DIVISION,1,offpeak,18744,23004,0.814814815
2015-05,1,A DIVISION,1,peak,11667,15181,0.768526448
2015-05,1,A DIVISION,2,offpeak,6587,7462,0.882739212
2015-05,1,A DIVISION,2,peak,3131,3614,0.866353071
2015-05,2,A DIVISION,1,offpeak,18567,24479,0.758486866
2015-05,2,A DIVISION,1,peak,10847,16131,0.672431963
2015-05,2,A DIVISION,2,offpeak,6589,9187,0.7172091
2015-05,2,A DIVISION,2,peak,3510,4685,0.749199573
2015-05,3,A DIVISION,1,offpeak,17333,21203,0.817478659
2015-05,3,A DIVISION,1,peak,10103,13755,0.734496547
2015-05,3,A DIVISION,2,offpeak,6127,7583,0.80799156
2015-05,3,A DIVISION,2,peak,3205,3826,0.837689493
2015-05,4,A DIVISION,1,offpeak,21275,27720,0.767496392
2015-05,4,A DIVISION,1,peak,13215,21090,0.626600284
2015-05,4,A DIVISION,2,offpeak,8193,11160,0.734139785
2015-05,4,A DIVISION,2,peak,4492,6066,0.740520936
2015-05,5,A DIVISION,1,offpeak,15837,21993,0.720092757
2015-05,5,A DIVISION,1,peak,10650,17782,0.598920256
2015-05,5,A DIVISION,2,offpeak,2549,2906,0.877150723
2015-05,5,A DIVISION,2,peak,1392,1579,0.881570614
2015-05,6,A DIVISION,1,offpeak,18672,26352,0.70856102
2015-05,6,A DIVISION,1,peak,12424,19392,0.640676568
2015-05,6,A DIVISION,2,offpeak,5987,8001,0.748281465
2015-05,6,A DIVISION,2,peak,3200,4243,0.754183361
2015-05,7,A DIVISION,1,offpeak,10477,13711,0.76413099
2015-05,7,A DIVISION,1,peak,7952,11598,0.685635454
2015-05,7,A DIVISION,2,offpeak,4173,5173,0.806688575
2015-05,7,A DIVISION,2,peak,2565,3290,0.779635258
2015-05,S 42nd,A DIVISION,1,offpeak,5461,5663,0.96432986
2015-05,S 42nd,A DIVISION,1,peak,4680,5820,0.804123711
2015-05,S 42nd,A DIVISION,2,offpeak,2120,2130,0.995305164
2015-05,S 42nd,A DIVISION,2,peak,1235,1240,0.995967742
2015-05,A,B DIVISION,1,offpeak,12460,17059,0.730406237
2015-05,A,B DIVISION,1,peak,8819,13038,0.676407424
2015-05,A,B DIVISION,2,offpeak,5555,7164,0.775404802
2015-05,A,B DIVISION,2,peak,2897,3783,0.765794343
2015-05,B,B DIVISION,1,offpeak,7333,9111,0.804851279
2015-05,B,B DIVISION,1,peak,5685,7437,0.764421138
2015-05,C,B DIVISION,1,offpeak,7898,9687,0.8153195
2015-05,C,B DIVISION,1,peak,4589,6172,0.743519119
2015-05,C,B DIVISION,2,offpeak,3417,4088,0.835861057
2015-05,C,B DIVISION,2,peak,1941,2299,0.844280122
2015-05,D,B DIVISION,1,offpeak,10688,12909,0.827949493
2015-05,D,B DIVISION,1,peak,6757,8572,0.788264116
2015-05,D,B DIVISION,2,offpeak,4452,5447,0.817330641
2015-05,D,B DIVISION,2,peak,2264,2771,0.817033562
2015-05,E,B DIVISION,1,offpeak,8185,10791,0.758502456
2015-05,E,B DIVISION,1,peak,6023,8366,0.719937844
2015-05,E,B DIVISION,2,offpeak,2307,2736,0.843201754
2015-05,E,B DIVISION,2,peak,1231,1443,0.853083853
2015-05,F,B DIVISION,1,offpeak,15500,20224,0.766416139
2015-05,F,B DIVISION,1,peak,10831,15072,0.718617304
2015-05,F,B DIVISION,2,offpeak,4192,5219,0.803219007
2015-05,F,B DIVISION,2,peak,2082,2653,0.784771956
2015-05,G,B DIVISION,1,offpeak,4257,4807,0.885583524
2015-05,G,B DIVISION,1,peak,2696,3126,0.862444018
2015-05,G,B DIVISION,2,offpeak,1695,1855,0.913746631
2015-05,G,B DIVISION,2,peak,941,1016,0.926181102
2015-05,JZ,B DIVISION,1,offpeak,6544,7961,0.822007286
